profile	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Thu Mar  5 01:42:14 2026

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
   0.0261812	      16.438	      16.438	        1559	 1.67936e-05	         2x4x4x8	N4quda4blas31caxpbypzYmbwcDotProductUYNormY_IddEE	GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 6.59 Gflop/s, 9.82 GB/s, tuning took 0.015502 seconds at Thu Mar  5 01:33:35 2026
   0.0227885	     14.3079	     30.7459	        3118	  7.3087e-06	         2x4x4x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 67.25 Gflop/s, 22.98 GB/s, tuning took 0.020343 seconds at Thu Mar  5 01:33:35 2026
    0.021499	     13.4983	     44.2441	        3118	 6.89514e-06	         2x4x4x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 69.50 Gflop/s, 24.36 GB/s, tuning took 0.137941 seconds at Thu Mar  5 01:33:35 2026
   0.0177749	     11.1601	     55.4042	        1559	 1.14015e-05	         2x4x4x8	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 4.31 Gflop/s, 2.34 GB/s, tuning took 0.015689 seconds at Thu Mar  5 01:33:35 2026
   0.0150443	      9.4456	     64.8498	         571	 2.63472e-05	         2x4x4x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 18.19 Gflop/s, 26.74 GB/s, tuning took 0.067517 seconds at Thu Mar  5 01:33:35 2026
   0.0148796	     9.34224	     74.1921	         571	 2.60589e-05	         2x4x4x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 18.86 Gflop/s, 27.04 GB/s, tuning took 0.052737 seconds at Thu Mar  5 01:33:35 2026
   0.0145744	     9.15061	     83.3427	        1559	 9.34857e-06	         2x4x4x8	N4quda4blas4CdotIdfEE	GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 2.63 Gflop/s, 2.85 GB/s, tuning took 0.013212 seconds at Thu Mar  5 01:33:35 2026
  0.00544723	     3.42006	     86.7627	         571	  9.5398e-06	         2x4x4x8	N4quda4blas10caxpyNorm2IddEE	GPU-offline,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 5.15 Gflop/s, 15.46 GB/s, tuning took 0.012399 seconds at Thu Mar  5 01:33:35 2026
  0.00487513	     3.06087	     89.8236	        1559	 3.12709e-06	         2x4x4x8	N4quda4blas6caxpy_IfEE	GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 7.86 Gflop/s, 12.77 GB/s, tuning took 0.010683 seconds at Thu Mar  5 01:33:35 2026
  0.00459944	     2.88778	     92.7114	        1499	 3.06834e-06	         2x4x4x8	N4quda4blas9cxpaypbz_IfEE	GPU-offline,vol=256,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 18.02 Gflop/s, 17.35 GB/s, tuning took 0.009678 seconds at Thu Mar  5 01:33:35 2026
  0.00234359	     1.47143	     94.1828	         571	 4.10436e-06	         2x4x4x8	N4quda4blas7axpbyz_IdEE	GPU-offline,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 4.49 Gflop/s, 35.93 GB/s, tuning took 0.011745 seconds at Thu Mar  5 01:33:35 2026
  0.00206222	     1.29478	     95.4776	         180	 1.14568e-05	         2x4x4x8	N4quda6CloverIdLi3EEE	GPU-offline,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 11.26 Gflop/s, 18.59 GB/s, tuning took 0.023555 seconds at Thu Mar  5 01:33:34 2026
  0.00194765	     1.22284	     96.7004	         120	 1.62304e-05	         2x4x4x8	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=256,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 21.58 Gflop/s, 36.35 GB/s, tuning took 0.218433 seconds at Thu Mar  5 01:33:34 2026
