profile	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Fri Dec 26 17:20:29 2025

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
    0.153469	     44.7323	     44.7323	        1672	 9.17876e-05	         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 42.84 Gflop/s, 55.69 GB/s, tuning took 0.002982 seconds at Mon Dec 22 16:54:05 2025
    0.149811	     43.6662	     88.3984	        1672	    8.96e-05	         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 42.79 Gflop/s, 57.05 GB/s, tuning took 0.003099 seconds at Mon Dec 22 16:54:05 2025
   0.0183398	      5.3456	      93.744	         306	 5.99341e-05	         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 65.61 Gflop/s, 94.04 GB/s, tuning took 0.002677 seconds at Sun Dec 21 15:21:30 2025
   0.0180962	     5.27458	     99.0186	         306	 5.91379e-05	         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 64.83 Gflop/s, 95.30 GB/s, tuning took 0.002652 seconds at Sun Dec 21 15:21:30 2025
  0.00273066	    0.795919	     99.8145	          72	 3.79259e-05	         4x8x8x8	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 73.87 Gflop/s, 124.42 GB/s, tuning took 0.002476 seconds at Sun Dec 21 15:21:29 2025
 0.000277738	   0.0809534	     99.8955	          24	 1.15724e-05	         8x8x8x8	N4quda6CovDevINS_9CovDevArgIdLi4ELi3EL21QudaReconstructType_s12ELi4EEEEE	policy,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,mu=6,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 93.44 Gflop/s, 169.89 GB/s, tuning took 0.002084 seconds at Sun Dec 21 15:21:31 2025
 0.000274726	   0.0800755	     99.9756	          24	 1.14469e-05	         8x8x8x8	N4quda6CovDevINS_9CovDevArgIdLi4ELi3EL21QudaReconstructType_s12ELi4EEEEE	policy,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,mu=2,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 94.47 Gflop/s, 171.76 GB/s, tuning took 0.002088 seconds at Sun Dec 21 15:21:31 2025
 8.38827e-05	   0.0244497	         100	           1	 8.38827e-05	         8x8x8x8	N4quda12WilsonCloverINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0ELb0EEEEE	policy,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	# 93.75 Gflop/s, 134.38 GB/s, tuning took 0.002908 seconds at Sun Dec 21 17:11:34 2025

# Total time spent in asynchronous execution = 0.343083 seconds
