# file_a: data/c2pt/S32T48_pyquda_frontier.c2pt.300.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.h5
# file_b: data/c2pt/S32T48_nobaryon_frontier.c2pt.300.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ5	1.6033935546875000e-01	1.4656193807526173e-10	5.5961528598785952e+07
/SS/5/PX-1PY-1PZ6	3.5882568359375000e-01	8.4932995435323897e-11	7.9973587086822540e+07
/SS/5/PX-1PY-1PZ7	1.8342285156250000e+00	1.8324027633033461e-10	5.9566822253485635e+07
/SS/5/PX-1PY-2PZ5	6.3404083251953125e-02	7.6383846606621713e-11	2.3334442237559883e+06
/SS/5/PX-1PY-2PZ6	9.2880249023437500e-02	9.7084888635639012e-11	9.6788398352680206e+06
/SS/5/PX-1PY-2PZ7	2.0639038085937500e-01	9.4219955872684650e-11	4.6958527935568094e+07
/SS/5/PX-1PY0PZ5	3.2091064453125000e+00	1.8798960885950551e-10	5.7180580478614628e+07
/SS/5/PX-1PY0PZ6	6.9750976562500000e+00	7.6487641777885056e-11	5.6397929185924932e+07
/SS/5/PX-1PY0PZ7	9.5742187500000000e+00	6.4601145391416641e-10	2.3371093911522988e+07
/SS/5/PX-1PY1PZ5	4.6484375000000000e-01	1.0490059892358429e-10	2.0419623602960411e+07
/SS/5/PX-1PY1PZ6	8.3691406250000000e-01	1.4371719739059515e-10	1.8119022766987726e+07
/SS/5/PX-1PY1PZ7	1.1475830078125000e+01	4.1998183659186968e-10	2.7979825413223028e+07
/SS/5/PX-1PY2PZ5	1.1695098876953125e-01	2.2434198409228679e-10	1.7102875444420399e+06
/SS/5/PX-1PY2PZ6	2.8677558898925781e-01	2.3368836043511864e-10	2.9634968760258672e+06
/SS/5/PX-1PY2PZ7	1.3229064941406250e+00	1.4777391325955571e-10	1.4041731396527806e+08
/SS/5/PX-2PY-1PZ5	9.0179443359375000e-02	7.8646796074972299e-10	2.1791147953311442e+06
/SS/5/PX-2PY-1PZ6	1.4904022216796875e-01	3.4080742908609024e-10	3.8655862410198250e+06
/SS/5/PX-2PY-1PZ7	5.6571197509765625e-01	1.0594588289117678e-10	1.9550183069146141e+07
/SS/5/PX-2PY-2PZ5	3.5948753356933594e-03	2.0536575410835867e-10	7.7951637734479259e+05
/SS/5/PX-2PY-2PZ6	7.2103142738342285e-03	1.2185159900558117e-10	3.2795003039639504e+06
/SS/5/PX-2PY-2PZ7	1.0002183914184570e-01	2.2488055196758818e-10	3.5963010806325902e+06
/SS/5/PX-2PY0PZ5	6.8299102783203125e-01	1.6536637960605278e-10	5.2873495175917130e+06
/SS/5/PX-2PY0PZ6	9.3801879882812500e-01	7.2809154875443300e-11	2.8312821424007928e+08
/SS/5/PX-2PY0PZ7	1.5725097656250000e+00	3.9254754187546682e-10	7.7758982357112514e+06
/SS/5/PX-2PY1PZ5	1.4524078369140625e-01	2.4609386410276104e-10	9.5477741114156563e+06
/SS/5/PX-2PY1PZ6	8.0955505371093750e-02	4.3903521161217055e-10	5.0103384539333843e+06
/SS/5/PX-2PY1PZ7	1.5829162597656250e+00	3.4765908018316111e-10	5.9054226127734959e+07
/SS/5/PX-2PY2PZ5	2.7804851531982422e-02	2.0893336476968742e-10	1.3285051534872476e+06
/SS/5/PX-2PY2PZ6	3.6963939666748047e-02	1.7631409689359830e-10	1.7830733850352387e+06
/SS/5/PX-2PY2PZ7	1.6073226928710938e-01	9.6131222325881647e-11	1.8843962911465693e+07
/SS/5/PX0PY-1PZ5	6.2426757812500000e-01	1.1570554066345658e-10	1.4549604557334105e+07
/SS/5/PX0PY-1PZ6	1.0734405517578125e+00	2.5323703192425914e-10	8.7473677621841103e+07
/SS/5/PX0PY-1PZ7	1.4589843750000000e+01	1.0403652005174583e-10	1.8132071307610935e+08
/SS/5/PX0PY-2PZ5	1.1633300781250000e-01	1.0571542103939323e-10	5.5591406678990118e+07
/SS/5/PX0PY-2PZ6	4.7974014282226562e-01	2.0008036274269852e-10	2.0763000402708434e+07
/SS/5/PX0PY-2PZ7	1.9221191406250000e+00	1.6641243235509665e-10	5.7380004091453321e+07
/SS/5/PX0PY0PZ5	3.2377929687500000e+00	1.3211597204688866e-10	7.6663691153087229e+07
/SS/5/PX0PY0PZ6	2.6547851562500000e+01	1.1684335172825220e-10	1.1726102067640552e+08
/SS/5/PX0PY0PZ7	6.8789062500000000e+00	2.2122472681025085e-10	5.1303368728565298e+07
/SS/5/PX0PY1PZ5	3.3113098144531250e-01	3.4135325628501530e-10	1.8655106745345991e+07
/SS/5/PX0PY1PZ6	8.5046386718750000e-01	2.6441628207287794e-10	1.7310566537340176e+08
/SS/5/PX0PY1PZ7	2.2061523437500000e+01	1.3192310804669882e-10	7.8379616721552861e+08
/SS/5/PX0PY2PZ5	1.2351989746093750e-01	1.7498856526155322e-10	7.8838733576100972e+06
/SS/5/PX0PY2PZ6	8.7413787841796875e-02	7.5065898452971494e-10	3.8768162891692668e+06
/SS/5/PX0PY2PZ7	3.0460205078125000e+00	1.2469932514292294e-10	3.0834409608426124e+08
/SS/5/PX1PY-1PZ5	2.0892333984375000e-01	1.5772737344764516e-10	5.6124264526394680e+06
/SS/5/PX1PY-1PZ6	1.1334228515625000e+00	1.5372163229343069e-10	3.3377854052655283e+07
