# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.CG.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_nobaryon_frontier.qTMD.300.CG.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	7.1468734741210938e-01	6.9409962568479294e-11	1.0296610471544409e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	6.6593933105468750e-01	9.5252335077190354e-11	2.2312077887684298e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	6.8409061431884766e-01	2.8598864542290981e-10	2.0108145968368025e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	9.1282749176025391e-01	2.2881447097123801e-10	2.7114938857143035e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	9.0067195892333984e-01	3.2589419622964350e-10	2.4388511464069304e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	7.0714187622070312e-01	2.0479719301883956e-10	1.7805688120754480e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	9.3108168244361877e-01	4.1508369206347536e-09	2.2431179548755580e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	4.7651290893554688e-01	5.8613739960564196e-11	8.1297134299252815e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	3.5820579528808594e-01	5.4728268793509473e-11	5.5007472024341412e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.0410957336425781e-01	5.4730772995889075e-11	4.3707916298270178e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	2.5132179260253906e-01	8.5761829007166265e-11	2.6582659829525909e+09
