# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.CG.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_nobaryon_frontier.qTMD.300.CG.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	7.5669670104980469e-01	7.0985374050161703e-11	1.0659895945819572e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	8.8561248779296875e-01	9.9658230722332543e-11	8.3271619211383085e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	1.0242261886596680e+00	1.7728110873387896e-10	5.3283475651807461e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	1.0390052795410156e+00	2.3363947264077633e-10	4.4470451323886499e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	7.5424766540527344e-01	2.3789577414050994e-10	2.7657567595519075e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	7.4877166748046875e-01	5.9486260043173741e-11	1.1229118896672291e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	7.7397155761718750e-01	5.9397910318169315e-11	1.3030282605420820e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	9.1711807250976562e-01	1.4006091926931279e-10	5.5718767776479969e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	8.4469795227050781e-01	1.3869727876500872e-10	5.6832334623061762e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	8.5401630401611328e-01	1.8107732616120445e-10	4.7163072380239563e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	7.8467005491256714e-01	2.1180958557239797e-09	3.7046012473517710e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-1	7.8638267517089844e-01	7.4469665478927722e-11	1.0559771822708361e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-2	8.7183761596679688e-01	1.0000756959947380e-10	8.3406047641276159e+09
