# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.GI_PDF.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_nobaryon_frontier.qTMD.300.GI_PDF.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	7.0225524902343750e-01	1.0479055905069957e-10	2.5359146869953923e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	6.6806030273437500e-01	7.2283040886732917e-11	7.1640779463440437e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	5.9585762023925781e-01	1.1765424738451589e-10	2.1607177838083167e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	5.1245689392089844e-01	1.7530151647493643e-10	2.2394723175581384e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	4.6734237670898438e-01	1.5611517861478645e-10	2.4178333143871312e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	7.0714187622070312e-01	2.0479719301883956e-10	1.7805688120754480e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	6.9303083419799805e-01	2.5065269405700201e-09	2.7649047890959150e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	6.1960172653198242e-01	4.4234188228202602e-10	1.4007304109108529e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	4.5568203926086426e-01	2.2397006563327599e-10	2.0345667086019821e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.4515571594238281e-01	1.6182257317443406e-10	1.9670516539810090e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	2.8566551208496094e-01	1.1596795762632690e-10	1.5922065137184148e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-1	1.2044143676757812e+00	6.9533125868100183e-11	6.1732309037439089e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-2	9.4057083129882812e-01	8.3046126396981023e-11	5.5030206337926693e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-3	6.7857933044433594e-01	9.0925715187223896e-11	4.6262673503785038e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-4	4.7687911987304688e-01	9.9914364985103459e-11	3.4730612078743305e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-5	4.2025566101074219e-01	1.2050001082588563e-10	2.1630716556954393e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz0	1.3653068542480469e+00	7.1939986125685083e-11	1.5679819279845192e+10
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz1	1.3310737609863281e+00	7.5461461035799615e-11	1.4723253336967936e+10
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz2	1.1354408264160156e+00	7.9206442484133230e-11	1.2248203707045599e+10
