# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.GI_PDF.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_nobaryon_frontier.qTMD.300.GI_PDF.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	6.0248184204101562e-01	5.4718614119849637e-11	1.0992734311073252e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	5.2032661437988281e-01	5.4953623891855259e-11	9.3722562316051579e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	5.1548004150390625e-01	6.4073092020282940e-11	6.7779201715279980e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	4.9745941162109375e-01	9.7859423322203814e-11	3.8748729172823882e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	4.4710159301757812e-01	2.8345208193305817e-10	1.2810759859049878e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	7.4877166748046875e-01	5.9486260043173741e-11	1.1229118896672291e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	7.8859901428222656e-01	7.0726944643044461e-11	1.0195519540768223e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	8.8271522521972656e-01	9.2302926212095781e-11	8.4265768258242207e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	8.6097908020019531e-01	1.2268941615962204e-10	6.6826000636048622e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	7.9385566711425781e-01	1.4362357992874159e-10	5.5273351876351147e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	6.9377994537353516e-01	3.1293501868156106e-10	1.1574844765731921e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-1	1.0735216140747070e+00	1.3521646815742664e-10	7.9392815734903879e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-2	8.6064243316650391e-01	1.1273006441486509e-10	7.6345421927481461e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-3	6.0551357269287109e-01	8.2983905805789469e-11	7.2967591343552637e+09
