# file_a: data/c2pt/S32T48_pyquda_frontier.c2pt.300.ex.x19y23z25t47.1HYP_GSRC_W90_k3_T5.h5
# file_b: data/c2pt/S32T48_pycontract_frontier.c2pt.300.ex.x19y23z25t47.1HYP_GSRC_W90_k3_T5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ5	1.7718353271484375e+00	1.0662188479122487e-10	1.0485273457297109e+07
/SS/5/PX-1PY-1PZ6	8.8699340820312500e-01	1.0312652708011902e-10	5.2448204080400504e+07
/SS/5/PX-1PY-1PZ7	3.3442993164062500e+00	2.1356148618971160e-10	4.0085909990474030e+07
/SS/5/PX-1PY-2PZ5	1.0414123535156250e-01	2.1773139764583065e-10	1.6333339614733814e+06
/SS/5/PX-1PY-2PZ6	7.2481155395507812e-02	1.0510213379357192e-10	1.1640073000693077e+07
/SS/5/PX-1PY-2PZ7	2.5287628173828125e-01	1.1740994586525762e-10	1.8603983316467765e+08
/SS/5/PX-1PY0PZ5	3.2485351562500000e+00	1.3192538857377751e-10	3.5878117890015982e+07
/SS/5/PX-1PY0PZ6	1.2208099365234375e+00	2.4658395739879760e-10	5.8774946014286272e+07
/SS/5/PX-1PY0PZ7	1.3671630859375000e+01	1.8392765462853025e-10	7.3634209130851686e+07
/SS/5/PX-1PY1PZ5	3.7287902832031250e-01	1.3068638764235321e-10	2.6209591168332506e+07
/SS/5/PX-1PY1PZ6	4.1906356811523438e-01	3.9037637707829070e-10	1.9261336196045298e+07
/SS/5/PX-1PY1PZ7	4.6406250000000000e+00	1.8262018233620686e-10	3.2696294831207059e+07
/SS/5/PX-1PY2PZ5	5.9087753295898438e-02	4.3223409206281586e-10	4.6787726798925260e+06
/SS/5/PX-1PY2PZ6	1.2765121459960938e-01	1.5931010375967836e-10	4.4072463517778389e+07
/SS/5/PX-1PY2PZ7	2.6160430908203125e-01	3.0260830998931228e-10	8.4036535732462667e+06
/SS/5/PX-2PY-1PZ5	2.1087265014648438e-01	1.2822732066076874e-10	4.4921147346800128e+06
/SS/5/PX-2PY-1PZ6	1.3306617736816406e-01	1.1330112300055219e-10	5.3580684251430063e+06
/SS/5/PX-2PY-1PZ7	1.1621475219726562e+00	1.0434560795277174e-10	1.6790895331443384e+07
/SS/5/PX-2PY-2PZ5	1.4825820922851562e-02	2.3874851341813938e-10	5.6496183283576067e+05
/SS/5/PX-2PY-2PZ6	1.9830703735351562e-02	1.0737823436424153e-10	1.1276838292535711e+06
/SS/5/PX-2PY-2PZ7	1.7218208312988281e-01	2.5136622974669169e-10	2.3321701498729475e+07
/SS/5/PX-2PY0PZ5	4.8627090454101562e-01	1.1763817539900681e-10	9.0223471703365501e+06
/SS/5/PX-2PY0PZ6	2.9801940917968750e-01	2.3966590717544982e-10	1.7327644303895731e+07
/SS/5/PX-2PY0PZ7	2.8230285644531250e-01	1.5511265207857751e-10	5.7449233771487541e+07
/SS/5/PX-2PY1PZ5	4.7734260559082031e-02	2.0192909832805001e-10	2.1694498247828227e+06
/SS/5/PX-2PY1PZ6	9.5689058303833008e-02	2.0833913818203669e-10	1.4850049947168622e+06
/SS/5/PX-2PY1PZ7	6.6764068603515625e-01	1.4301718775500432e-10	8.6195879184875891e+07
/SS/5/PX-2PY2PZ5	6.3001513481140137e-03	3.5447974324554604e-10	4.1573449602366658e+05
/SS/5/PX-2PY2PZ6	2.0388603210449219e-02	1.4562884905213670e-10	7.2942517708841609e+06
/SS/5/PX-2PY2PZ7	9.5697402954101562e-02	1.0774369178479938e-10	3.1534985147734854e+07
/SS/5/PX0PY-1PZ5	1.2255859375000000e+00	1.1317801221712453e-10	2.6045068500235081e+07
/SS/5/PX0PY-1PZ6	3.2399902343750000e+00	3.1072105735701040e-10	2.3452907765566096e+07
/SS/5/PX0PY-1PZ7	6.0942382812500000e+00	7.9732087792897287e-11	7.8386316043828905e+08
/SS/5/PX0PY-2PZ5	7.5109100341796875e-01	2.4109384297965406e-10	2.3903568663847008e+08
/SS/5/PX0PY-2PZ6	3.0596923828125000e-01	4.8161824955219554e-10	3.1765327500831109e+07
/SS/5/PX0PY-2PZ7	1.1978759765625000e+00	1.5450678617253893e-10	3.7127481664950415e+07
/SS/5/PX0PY0PZ5	2.2806518554687500e+01	2.5950186423067599e-10	1.1432661526742976e+07
/SS/5/PX0PY0PZ6	3.8872070312500000e+00	2.0803761232703067e-10	1.9506090268844348e+08
/SS/5/PX0PY0PZ7	3.2488281250000000e+01	1.2449041479507444e-10	7.8528391017655921e+08
/SS/5/PX0PY1PZ5	7.4212036132812500e+00	2.1600095486382071e-10	2.0779508438700121e+07
/SS/5/PX0PY1PZ6	5.8563995361328125e-01	1.4962185645465867e-10	1.1926716736112118e+08
/SS/5/PX0PY1PZ7	2.4009399414062500e+01	1.1572584250621103e-10	8.9644269561291531e+07
/SS/5/PX0PY2PZ5	3.8610076904296875e-01	1.2603639356531414e-10	5.5727107889903504e+06
/SS/5/PX0PY2PZ6	3.1065368652343750e-01	2.2115423177619209e-10	7.1389194328094330e+06
