# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.CG.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_pycontract_frontier.qTMD.300.CG.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	7.1469497680664062e-01	6.9410703530230962e-11	1.0296610471544409e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	6.6597747802734375e-01	9.5207669149361436e-11	2.2312077887684298e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	6.8425655364990234e-01	2.8598769687766063e-10	2.0108145968368025e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	9.1294479370117188e-01	2.2883522218331501e-10	2.7114938857143035e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	9.0074443817138672e-01	3.2591785380145867e-10	2.4388511464069304e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	7.0716667175292969e-01	2.0494809858161545e-10	1.7805688120754480e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	9.3125411868095398e-01	4.1516056552300990e-09	2.2431179548755580e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	4.7661972045898438e-01	5.8626878372435437e-11	8.1297134299252815e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	3.5823059082031250e-01	5.4740924933218427e-11	5.5007472024341412e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.0410575866699219e-01	5.4749319365462346e-11	4.3707916298270178e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	2.5133037567138672e-01	8.5787121449584677e-11	2.6582659829525909e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-1	7.0615577697753906e-01	9.4141429709185290e-11	4.7347478445294352e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-2	6.3501358032226562e-01	1.1225336975057794e-10	4.3715118334037819e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-3	6.5605401992797852e-01	2.0553373996551145e-10	3.1919529126364574e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-4	8.6385107040405273e-01	2.6300181497843684e-10	3.2845821633393621e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-5	8.3876943588256836e-01	2.6746864475345812e-10	2.3625335558825159e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz0	7.1266937255859375e-01	1.1643275129244396e-10	4.1255903249968648e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz1	6.4583730697631836e-01	2.5810895496101937e-10	2.5021886864555135e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz2	7.2473931312561035e-01	6.4649839081041465e-10	1.1210226095336714e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz3	3.8656425476074219e-01	8.0765829485194885e-11	4.7862351841703424e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz4	2.8122997283935547e-01	9.7025857199712360e-11	2.4484321267281475e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz5	2.2824668884277344e-01	6.9526355923098732e-11	3.2036385246949863e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-1	5.9912014007568359e-01	9.0151069169251270e-11	6.6457352707696066e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-2	5.3797721862792969e-01	9.8040778454925583e-11	1.9920657668213482e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-3	7.6806235313415527e-01	4.5975442234943492e-10	1.6705926377156017e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-4	8.1520080566406250e-01	3.5984808852723441e-10	2.2654026286494102e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-5	7.7561759948730469e-01	2.8921364156106286e-10	2.6818154057354360e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz0	6.5479469299316406e-01	1.0696051984873170e-10	6.1218353642933273e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz1	6.7128658294677734e-01	1.4278712992920827e-10	4.7013101480475950e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz2	5.9634637832641602e-01	2.0513641298714219e-10	2.9070722727504969e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz3	2.9904556274414062e-01	1.2205066414684506e-10	1.9800667570520785e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz4	2.4598407745361328e-01	1.4394223611381374e-10	1.7089082683078234e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz5	2.3439550399780273e-01	7.8531373122365368e-11	2.9847371143323102e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-1	5.1167869567871094e-01	1.2143549630291934e-10	1.7038470386065543e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-2	5.5052679777145386e-01	1.2385228840846611e-09	4.4450272566285646e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-3	5.4725074768066406e-01	3.5215844203390476e-10	1.5539901429595046e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-4	5.6785488128662109e-01	2.3818150834435163e-10	2.3841266487641988e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-5	6.2612342834472656e-01	2.4358517068784770e-10	2.5704496976423016e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz0	5.4388332366943359e-01	9.1027512751796780e-11	2.8880002312220354e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz1	5.1533889770507812e-01	8.6157951252124149e-11	5.9813272044624310e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz2	4.1402292251586914e-01	1.0016444151225547e-10	4.1334321468283930e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz3	2.5462555885314941e-01	2.6474265323699542e-10	9.6178517416765010e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz4	1.7603778839111328e-01	7.1967483491764379e-11	2.4460739746618795e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz5	2.6002597808837891e-01	9.0008345117519710e-11	2.8889096644191723e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT4/bz-1	3.8591384887695312e-01	2.5455528621260664e-10	1.1850491977910733e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT4/bz-2	4.1976547241210938e-01	1.2348503949878910e-10	2.7013645628261070e+09
