# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.CG.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_pycontract_frontier.qTMD.300.CG.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	9.8198090942390862e+09	6.5031707819789564e-01	1.5100032620165720e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	7.6342812039711905e+09	5.8646499210402803e-01	1.3017454250051826e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	5.4876441408165855e+09	5.0047076020938497e-01	1.0964964543624260e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	3.9579583478570910e+09	4.5531017199783680e-01	4.4470451323886499e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	2.9284608732678919e+09	3.6053013587320759e-01	8.1226521222009096e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	1.0543092052118626e+10	6.5326574883932698e-01	1.6139055309191996e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	8.9300990868692589e+09	5.8694864442922257e-01	1.5214447075780066e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	6.1947358115923948e+09	5.4858496173957805e-01	1.1292208579594885e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	4.6968106175392075e+09	5.2707831326625698e-01	8.9110299159028072e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.3666228380896425e+09	5.3429653452495351e-01	4.5045101543654165e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	2.4752703774593344e+09	2.8850290029554677e+00	3.7046012473517710e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-1	8.5551540140234547e+09	5.9478195562465952e-01	1.4383681167729023e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-2	6.7752928443195400e+09	5.1072383387403719e-01	1.3266059648962006e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-3	5.0473288044362631e+09	4.3899076649478469e-01	6.6794044180517931e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-4	3.7937160149517298e+09	4.4251193119289323e-01	4.2333152880210028e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz-5	2.9086681740554790e+09	5.5485964715322866e-01	2.3362964014995561e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz0	9.1162186872956734e+09	6.2103777117893522e-01	1.4679008444188625e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz1	7.6449673709693251e+09	5.6808642373395668e-01	1.3457401993027697e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz2	5.4173274517432747e+09	5.6618436327743160e-01	9.5681332850387669e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz3	4.1947943389577942e+09	5.3511019865750342e-01	7.7859514170705462e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz4	3.0659950450341444e+09	4.4263296464739565e-01	6.9267209853575554e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT1/bz5	2.3522427464614992e+09	1.7918524458028415e+00	6.2654229260620463e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-1	6.2957952307362413e+09	5.1463253929970831e-01	1.1097349573463530e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-2	5.2842971682205296e+09	4.2404276101689731e-01	1.2009568922021435e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-3	4.2306345880930452e+09	4.4771590881330625e-01	5.6988249594773626e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-4	3.4114284519082584e+09	3.3669167011546414e-01	4.1473147752320566e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz-5	2.7752474309092789e+09	7.0167983301235470e-01	2.2935382085060916e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz0	6.4864352423798876e+09	5.8427068697483830e-01	9.9060219599542255e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz1	5.6308740272125435e+09	6.3227428644830386e-01	8.9057457307698631e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz2	4.6509892544509850e+09	5.5150422645567221e-01	7.5269171036998262e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz3	3.4077971994407320e+09	5.1134495106835709e-01	6.4746898618299875e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz4	2.5989897435741539e+09	4.2639064528691517e-01	6.0953254305692205e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT2/bz5	2.1361665436275001e+09	1.2051825540784649e+00	7.8216297108318520e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-1	4.5044539844536953e+09	4.7940706141227302e-01	9.3958857660213413e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-2	3.9614529483339443e+09	4.0608032046769305e-01	6.4483655239639339e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-3	3.3707251913413706e+09	3.7705475293365770e-01	4.9945494351481838e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-4	2.9344999968832169e+09	8.8640881249770842e-01	1.3787233161013772e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz-5	2.5685538117633762e+09	4.0900982456229806e-01	3.0533733087342215e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz0	4.5672269303517303e+09	5.7653131046510087e-01	7.9219061436008482e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz1	4.2424905519083672e+09	5.3129679382995443e-01	7.2650735394294558e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz2	3.6295683676611137e+09	4.8334657481778553e-01	5.8925103086801777e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz3	2.7279572427453899e+09	4.5637776252127893e-01	5.2886759872966995e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz4	2.0779542147618499e+09	7.2006677403019914e-01	1.5254339545413687e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT3/bz5	1.8380850933035774e+09	7.1200447686006363e-01	7.7787853564206183e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT4/bz-1	3.4811247752788239e+09	3.8550381098621406e-01	8.0621419584597311e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT4/bz-2	3.0322858050704689e+09	3.6404049747722000e-01	5.1205525013368664e+09
