# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.GI_PDF.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_pycontract_frontier.qTMD.300.GI_PDF.D.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	7.0236015319824219e-01	1.0488739635273261e-10	2.5359146869953923e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	6.6809844970703125e-01	7.2286501978643463e-11	7.1640779463440437e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	5.9593200683593750e-01	1.1763107550062319e-10	2.1607177838083167e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	5.1250839233398438e-01	1.7530747834386644e-10	2.2394723175581384e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	4.6741485595703125e-01	1.5612109511641664e-10	2.4178333143871312e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	7.0716667175292969e-01	2.0494809858161545e-10	1.7805688120754480e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	6.9309407472610474e-01	2.5067556664500436e-09	2.7649047890959150e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	6.1979222297668457e-01	4.4247788021797307e-10	1.4007304109108529e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	4.5583987236022949e-01	2.2404764141326783e-10	2.0345667086019821e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.4515380859375000e-01	1.6187735831316482e-10	1.9670516539810090e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	2.8566932678222656e-01	1.1599026903378570e-10	1.5922065137184148e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-1	1.2045059204101562e+00	6.9543012936509210e-11	6.1732309037439089e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-2	9.4060897827148438e-01	8.3048552599119477e-11	5.5030206337926693e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-3	6.7863082885742188e-01	9.0928601194326055e-11	4.6262673503785038e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-4	4.7687721252441406e-01	9.9907225596897370e-11	3.4730612078743305e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-5	4.2026519775390625e-01	1.2047333704649849e-10	2.1630716556954393e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz0	1.3654136657714844e+00	7.1945095154121468e-11	1.5679819279845192e+10
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz1	1.3312454223632812e+00	7.5468586103364758e-11	1.4723253336967936e+10
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz2	1.1355934143066406e+00	7.9215163070922303e-11	1.2248203707045599e+10
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz3	8.8047409057617188e-01	8.3036708581770359e-11	9.1704060099038124e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz4	6.7414093017578125e-01	8.8142526240739611e-11	6.0758154158626347e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz5	5.3526878356933594e-01	1.0819552691819951e-10	3.6426488252048216e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-1	1.2925643920898438e+00	1.5905099185268522e-10	7.8903540843734083e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-2	1.1146278381347656e+00	1.6538605379718738e-10	6.3867199791695099e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-3	8.9903640747070312e-01	1.6668750030572970e-10	4.8244720816760168e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-4	6.9596099853515625e-01	1.5239694945462749e-10	3.6632997026078377e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-5	5.2948570251464844e-01	1.1209221721592644e-10	3.1020985086207237e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz0	1.3634643554687500e+00	1.5290831174694588e-10	8.5006493854970217e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz1	1.2527313232421875e+00	1.5491557243100083e-10	7.4666300818117285e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz2	1.0403289794921875e+00	1.7671647886531295e-10	5.2324584684447193e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz3	8.1581497192382812e-01	2.6554737169656263e-10	2.6797076990405583e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz4	6.3239860534667969e-01	8.4797747675252195e-10	5.4102225405400872e+08
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz5	5.0971221923828125e-01	2.8172802339312252e-10	1.3060729605818172e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz-1	9.6028137207031250e-01	2.8406902736518098e-10	2.0707933502107499e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz-2	8.9608764648437500e-01	3.4957561669730772e-10	1.2687106101699312e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz-3	7.9869079589843750e-01	2.7193664649449021e-10	1.3582451537665398e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz-4	6.9894027709960938e-01	2.7778709350110679e-09	1.8331975906979617e+08
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz-5	5.9391117095947266e-01	2.6281104174701329e-10	9.3272587224735594e+08
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz0	9.2835235595703125e-01	3.2864996826741103e-10	1.8897661251766779e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz1	7.7557754516601562e-01	6.2372329040648696e-11	9.9785439248035660e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz2	5.7391738891601562e-01	1.3129578148675421e-10	2.9360166672384138e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz3	5.4468727111816406e-01	1.8355583194270602e-10	1.4667322931786795e+09
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz4	5.4184722900390625e-01	3.2164873456540641e-10	8.7392964926007140e+08
/SS/5/PX-1PY-2PZ-1/b_X/eta0/bT0/bz5	4.8689746856689453e-01	9.0172459577482717e-10	3.2096116652912050e+08
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz-1	5.4786872863769531e-01	5.8185457421079266e-11	9.4159048140303001e+09
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz-2	4.5233726501464844e-01	7.2419417161479369e-11	6.2460771260563431e+09
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz-3	3.5417747497558594e-01	1.1443172824978667e-10	3.0950985394756217e+09
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz-4	3.0907845497131348e-01	3.9504480298754656e-10	7.8238835857070339e+08
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz-5	1.2977194786071777e-01	2.6400796073400059e-10	4.9154558635248357e+08
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz0	5.7655715942382812e-01	4.9715623051894795e-11	1.1597102158852537e+10
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz1	5.0143432617187500e-01	4.2475700603659794e-11	1.1805204364979218e+10
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz2	4.3222427368164062e-01	3.6656950452239108e-11	1.1791059222037363e+10
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz3	3.9451789855957031e-01	4.1521097830050957e-11	9.5016249371430969e+09
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz4	3.5013198852539062e-01	4.5814142507850647e-11	7.6424433452048674e+09
/SS/5/PX-1PY-2PZ-2/b_X/eta0/bT0/bz5	3.0888271331787109e-01	6.1360149822414318e-11	4.1066489730178866e+09
/SS/5/PX-1PY-2PZ0/b_X/eta0/bT0/bz-1	7.0432090759277344e-01	5.5547683247205186e-11	1.2679573051828592e+10
/SS/5/PX-1PY-2PZ0/b_X/eta0/bT0/bz-2	6.0623931884765625e-01	6.0322046357160158e-11	1.0050045637679140e+10
