# file_a: data/qTMD/S32T48_pyquda_frontier.qTMD.300.GI_PDF.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: data/qTMD/S32T48_pycontract_frontier.qTMD.300.GI_PDF.U.ex.x19y23z25t35.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	9.8377559279313049e+09	6.4892758880132606e-01	1.5160021083559149e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	7.8903535774078913e+09	6.0588489972464643e-01	1.3022858930786659e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	5.9381546533536806e+09	5.2129139459800045e-01	1.0873939082167282e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	4.8304377570843182e+09	4.6032776425410393e-01	1.0493474719934305e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	3.8042872845224543e+09	4.3760852631848424e-01	8.6933573176171551e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	1.0543092052118626e+10	6.5326574883932698e-01	1.6139055309191996e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	9.4732440807689476e+09	6.1907728396960182e-01	1.5302199460502426e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	7.3190627761009140e+09	5.8570863232692194e-01	1.1251921191438843e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	5.3415796025591021e+09	6.3904958837493231e-01	8.3586308476349125e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.5871637919420056e+09	5.4989526266739719e-01	6.5233582383336382e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	2.4512034272174301e+09	3.8866360590402099e-01	5.5394930750953884e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-1	3.0210551618584232e+09	2.3180326967841763e-01	9.3840607829193535e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-2	2.3375280723597031e+09	2.2835577351966110e-01	8.3691143866774569e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-3	1.6984693827875404e+09	2.3585401692544200e-01	6.8924025134578056e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-4	1.4515354593618641e+09	3.3910022235729159e-01	3.7112929858242111e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz-5	1.3766212379447944e+09	4.6568079083689590e-01	2.9561477841308560e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz0	3.4255412694285297e+09	2.4888090499766788e-01	9.4010929194550438e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz1	3.3088293020200062e+09	2.8332597630999629e-01	8.5543650530591955e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz2	2.7883323156797371e+09	3.1356476585337584e-01	7.5781633334988747e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz3	2.1142174901479540e+09	3.0190999717761940e-01	7.0028071607848072e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz4	1.7062633675754156e+09	3.0370719397977192e-01	3.3170740543953981e+09
/SS/5/PX-1PY-1PZ-2/b_X/eta0/bT0/bz5	1.2843948102123661e+09	2.6051497641262583e-01	2.0101133616137650e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-1	4.1591120661129818e+09	3.9770618365319410e-01	8.0008861642088251e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-2	4.5020530771488037e+09	4.5572974680992534e-01	5.8593830111887064e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-3	4.3747391086700039e+09	5.6832746664458345e-01	4.5693126489569540e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-4	3.8217858840507956e+09	6.7334458033485134e-01	4.8104169586032162e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz-5	3.1526385256633224e+09	4.8868629668153274e-01	5.7942880586553288e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz0	4.0661545134112377e+09	4.3086343181296227e-01	8.6686256463632259e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz1	3.8440741585912266e+09	4.7113308356149497e-01	8.0206366961139498e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz2	3.3760670983524923e+09	5.0906656759740743e-01	6.6318774660182295e+09
/SS/5/PX-1PY-1PZ0/b_X/eta0/bT0/bz3	2.7078709050993662e+09	5.5436735186359187e-01	4.8602611465492973e+09
