# file_a: LQ2/data/c2pt/S64T64_gpt_lq2.c2pt.1050.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.h5
# file_b: Aurora/data/c2pt/S64T64_pyquda_aurora.c2pt.1050.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ5	4.3004980468750000e+02	1.3178247448873558e-09	3.3132978412763038e+09
/SS/5/PX-1PY-1PZ6	1.5165898437500000e+03	2.2022965905174164e-09	2.0606959021242423e+09
/SS/5/PX-1PY-1PZ7	3.0691093750000000e+03	3.5480615873892845e-09	4.8292446921147118e+09
/SS/5/PX-1PY-1PZ8	3.5236953125000000e+03	1.7958750134882174e-09	3.9832709037099028e+09
/SS/5/PX-1PY-1PZ9	2.1398144531250000e+02	1.2617011905686555e-09	8.7309530689045582e+09
/SS/5/PX-1PY-2PZ5	9.7473144531250000e+01	3.7114742404050684e-09	8.2708846339745164e+08
/SS/5/PX-1PY-2PZ6	3.3095507812500000e+02	1.1671797521809603e-09	4.1843517416137424e+09
/SS/5/PX-1PY-2PZ7	6.0199609375000000e+02	1.0059448294910155e-09	2.5271731372456689e+09
/SS/5/PX-1PY-2PZ8	8.3503125000000000e+02	1.2096002089016795e-09	1.4072080230524342e+10
/SS/5/PX-1PY-2PZ9	2.1580664062500000e+02	4.1115406343471751e-09	1.7286362001258192e+09
/SS/5/PX-1PY0PZ5	7.9427539062500000e+02	1.4373718970113513e-09	2.3925103731086402e+09
/SS/5/PX-1PY0PZ6	2.6247851562500000e+03	2.1922092445081204e-09	5.4322581721568947e+09
/SS/5/PX-1PY0PZ7	4.8750781250000000e+03	1.6400534634226910e-09	3.7310244612840889e+10
/SS/5/PX-1PY0PZ8	4.6478828125000000e+03	1.5601696451901787e-09	1.7903439956395428e+10
/SS/5/PX-1PY0PZ9	1.1512500000000000e+03	7.9008056076802566e-10	2.3494497521015846e+10
/SS/5/PX-1PY1PZ5	6.9082714843750000e+02	1.4748588905622533e-09	3.6218752502442231e+09
