# file_a: LQ2/data/c2pt/S64T64_gpt_lq2_1e-12.c2pt.1050.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.h5
# file_b: Aurora/data/c2pt/S64T64_pyquda_aurora_1e-12.c2pt.1050.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ5	7.3886718750000000e+00	1.0739494615436338e-11	4.0441157089635205e+09
/SS/5/PX-1PY-1PZ6	1.5406250000000000e+01	3.2738042122188537e-11	4.6683896986939259e+09
/SS/5/PX-1PY-1PZ7	5.6171875000000000e+00	1.7000849110912278e-11	1.3648417306321701e+10
/SS/5/PX-1PY-1PZ8	1.9660156250000000e+01	2.5208276939287076e-11	3.9832716588259377e+09
/SS/5/PX-1PY-1PZ9	1.0503906250000000e+01	2.4586545418263019e-11	1.0676524543209505e+10
/SS/5/PX-1PY-2PZ5	3.5151367187500000e+00	3.2379518378004856e-11	8.2708841474441421e+08
/SS/5/PX-1PY-2PZ6	7.5371093750000000e+00	1.0611587664312995e-11	9.7481309135139809e+09
/SS/5/PX-1PY-2PZ7	3.7695312500000000e+00	3.3923310536502045e-11	2.5271730406127272e+09
/SS/5/PX-1PY-2PZ8	6.7929687500000000e+00	1.6174255682562857e-11	1.1413604171167152e+10
/SS/5/PX-1PY-2PZ9	7.0390625000000000e+00	1.9126118557278459e-11	7.9888302653374481e+08
/SS/5/PX-1PY0PZ5	7.4667968750000000e+00	1.6964964903774650e-11	2.3925104457114034e+09
/SS/5/PX-1PY0PZ6	1.1632812500000000e+01	1.8637843099250812e-11	3.0749578104120378e+09
/SS/5/PX-1PY0PZ7	7.8671875000000000e+00	5.4357498122690191e-11	2.3411185485340276e+09
/SS/5/PX-1PY0PZ8	3.7398437500000000e+01	4.6097023916899958e-11	1.2526131289910355e+10
/SS/5/PX-1PY0PZ9	2.1242187500000000e+01	1.7123250714579027e-11	8.6125170622461052e+09
/SS/5/PX-1PY1PZ5	3.4619140625000000e+00	8.6264000462751133e-12	5.3266641549886341e+09
/SS/5/PX-1PY1PZ6	1.6660156250000000e+00	1.7055580747721680e-11	1.2133142399424622e+10
/SS/5/PX-1PY1PZ7	1.5945312500000000e+01	7.1481613995858387e-12	3.5665653502314781e+10
/SS/5/PX-1PY1PZ8	3.9578125000000000e+01	2.0017990327434604e-11	7.9010940541950388e+09
/SS/5/PX-1PY1PZ9	4.0281250000000000e+01	1.5622148221005524e-11	7.8828474202823992e+09
/SS/5/PX-1PY2PZ5	6.9042968750000000e-01	2.1783674408140274e-11	1.9602953866766486e+09
/SS/5/PX-1PY2PZ6	1.3496093750000000e+00	2.4788448318162015e-11	2.3818535556584187e+09
/SS/5/PX-1PY2PZ7	8.1562500000000000e+00	7.9784908448622269e-12	9.5103378302939129e+09
/SS/5/PX-1PY2PZ8	1.7351562500000000e+01	1.1104818212364541e-11	1.0723236307566216e+10
/SS/5/PX-1PY2PZ9	2.2992187500000000e+01	9.8229428367460258e-12	3.6772936426175056e+09
/SS/5/PX-2PY-1PZ5	3.7231445312500000e+00	1.3274514451766085e-11	1.6263884959281089e+09
/SS/5/PX-2PY-1PZ6	8.2226562500000000e+00	9.8574179560252266e-12	9.1843736979560852e+09
/SS/5/PX-2PY-1PZ7	4.2460937500000000e+00	2.2276001085378654e-11	2.9475239259254870e+09
/SS/5/PX-2PY-1PZ8	1.2667968750000000e+01	1.6373094152752943e-11	6.9017362292886639e+09
/SS/5/PX-2PY-1PZ9	1.9020507812500000e+01	3.2968769605185455e-10	1.3281818826211551e+08
/SS/5/PX-2PY-2PZ5	1.5585937500000000e+00	1.4627815820547430e-11	1.4562818856143620e+09
/SS/5/PX-2PY-2PZ6	3.3261718750000000e+00	1.4332556622351053e-11	2.6008773355589018e+09
/SS/5/PX-2PY-2PZ7	1.6484375000000000e+00	3.6838504800041917e-11	1.9127136672457538e+09
/SS/5/PX-2PY-2PZ8	4.7597656250000000e+00	1.5052549229592316e-11	3.8469458341909515e+10
/SS/5/PX-2PY-2PZ9	7.6669921875000000e+00	2.0153012672092032e-11	2.5516556997610159e+09
/SS/5/PX-2PY0PZ5	4.2861328125000000e+00	1.8354106472074511e-11	1.3786863409256575e+09
/SS/5/PX-2PY0PZ6	8.2226562500000000e+00	3.5322064080596236e-11	2.7274787572870841e+09
/SS/5/PX-2PY0PZ7	2.6154785156250000e+00	5.8427606399239873e-11	1.3457919279581285e+09
/SS/5/PX-2PY0PZ8	2.4378906250000000e+01	1.3733687804580943e-11	1.0312332714086187e+10
/SS/5/PX-2PY0PZ9	2.7167968750000000e+01	1.0416158274390684e-11	1.9526862445208092e+09
/SS/5/PX-2PY1PZ5	1.9907226562500000e+00	1.1474213449378215e-11	4.0366668762441826e+09
/SS/5/PX-2PY1PZ6	1.8847656250000000e+00	3.0516258174694820e-11	1.6606343259744067e+09
/SS/5/PX-2PY1PZ7	6.0703125000000000e+00	1.7748956648547474e-11	6.0970505392733908e+09
/SS/5/PX-2PY1PZ8	1.8273437500000000e+01	5.6002384903185761e-11	1.3872603144927881e+09
/SS/5/PX-2PY1PZ9	2.0468750000000000e+01	2.4716677306119612e-10	5.3822946948570490e+08
/SS/5/PX-2PY2PZ5	2.7099609375000000e-01	3.4420141799365430e-11	1.4154607522024882e+09
/SS/5/PX-2PY2PZ6	4.2187500000000000e-01	6.1337550438044853e-11	8.1776290700844502e+08
/SS/5/PX-2PY2PZ7	2.9257812500000000e+00	1.0090870729296940e-11	1.4657720666194304e+10
/SS/5/PX-2PY2PZ8	5.2382812500000000e+00	1.9139456428717896e-11	7.3504766622591724e+09
/SS/5/PX-2PY2PZ9	5.7070312500000000e+00	1.1248582887262917e-11	2.1420951883285100e+09
/SS/5/PX0PY-1PZ5	6.8632812500000000e+00	2.6870898990792012e-11	4.1351063525653834e+09
/SS/5/PX0PY-1PZ6	1.3132812500000000e+01	3.7679446201968079e-11	4.4345241981253519e+09
/SS/5/PX0PY-1PZ7	5.6484375000000000e+00	6.9976924375245065e-11	1.9352889375466905e+09
/SS/5/PX0PY-1PZ8	6.5078125000000000e+00	2.2446285202808516e-11	8.1792912286147346e+09
/SS/5/PX0PY-1PZ9	3.2218750000000000e+01	1.5547600076005350e-11	6.8099176570112495e+09
/SS/5/PX0PY-2PZ5	3.7963867187500000e+00	3.6883520754285705e-11	1.5747698759700279e+09
/SS/5/PX0PY-2PZ6	8.4843750000000000e+00	3.2852643860968151e-11	2.4024562660501723e+09
/SS/5/PX0PY-2PZ7	6.8632812500000000e+00	1.3215510095459436e-11	4.9598531549257793e+09
/SS/5/PX0PY-2PZ8	7.0039062500000000e+00	2.4437654265141880e-11	4.9974365086485739e+09
/SS/5/PX0PY-2PZ9	1.4734375000000000e+01	1.5695505416537536e-11	6.4645431193634920e+09
/SS/5/PX0PY0PZ5	6.4960937500000000e+00	1.4854922065802609e-11	9.3370052441266861e+09
/SS/5/PX0PY0PZ6	7.1640625000000000e+00	1.7728945085165680e-11	4.3529512140459862e+09
/SS/5/PX0PY0PZ7	1.4414062500000000e+01	4.2587866973702456e-11	2.3567952817084808e+09
/SS/5/PX0PY0PZ8	2.8531250000000000e+01	3.2993534663698664e-11	4.9979436192763157e+09
/SS/5/PX0PY0PZ9	4.1640625000000000e+00	1.0162535989879703e-11	4.8015278983351278e+09
/SS/5/PX0PY1PZ5	2.9531250000000000e+00	6.7849244308597223e-12	8.9358240624543858e+09
/SS/5/PX0PY1PZ6	3.8349609375000000e+00	3.2137033554558037e-11	1.7409501286745570e+09
/SS/5/PX0PY1PZ7	2.5179687500000000e+01	1.6468595561692386e-11	6.0003796284391756e+09
/SS/5/PX0PY1PZ8	5.3640625000000000e+01	1.6501592793194937e-11	1.1079354468436834e+10
/SS/5/PX0PY1PZ9	4.8171875000000000e+01	2.1403913092074975e-11	7.8294377216132097e+09
/SS/5/PX0PY2PZ5	6.4941406250000000e-01	2.1847866106571003e-11	1.4846798285527227e+09
/SS/5/PX0PY2PZ6	2.4140625000000000e+00	1.2366919208006332e-11	6.4619240793488665e+09
/SS/5/PX0PY2PZ7	1.2851562500000000e+01	3.1992101282069832e-11	6.0585492660137787e+09
/SS/5/PX0PY2PZ8	2.9476562500000000e+01	1.6290760696082469e-11	7.5429832873608646e+09
/SS/5/PX0PY2PZ9	4.0320312500000000e+01	1.4452318775275328e-11	4.8961504398703585e+09
/SS/5/PX1PY-1PZ5	3.4130859375000000e+00	1.2551122035805974e-11	7.7621389696368122e+09
/SS/5/PX1PY-1PZ6	4.4062500000000000e+00	1.0514454424652592e-11	3.5121343807720156e+09
/SS/5/PX1PY-1PZ7	1.7568359375000000e+00	1.4146054539789910e-10	3.8484446291408138e+09
/SS/5/PX1PY-1PZ8	1.2445312500000000e+01	3.9019569312176672e-11	4.3581099869793787e+09
/SS/5/PX1PY-1PZ9	3.0781250000000000e+01	1.8034653966904135e-11	6.8472459288309228e+08
/SS/5/PX1PY-2PZ5	1.8608398437500000e+00	2.1707594449365915e-11	2.0671676778618848e+09
/SS/5/PX1PY-2PZ6	3.4882812500000000e+00	1.5456738081718832e-11	2.3305475531774850e+09
/SS/5/PX1PY-2PZ7	2.6367187500000000e+00	2.1428012887912691e-11	1.8663463686115336e+09
/SS/5/PX1PY-2PZ8	7.2539062500000000e+00	2.7799236059951161e-11	9.7352926147367334e+08
/SS/5/PX1PY-2PZ9	1.0335937500000000e+01	3.9888456974548646e-11	4.0181031878213577e+09
/SS/5/PX1PY0PZ5	2.8730468750000000e+00	1.5361857768545312e-11	5.2941147861046410e+09
