# file_a: LQ2/data/qTMD/S64T64_gpt_lq2.qTMD.1050.CG.D.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: Aurora/data/qTMD/S64T64_pyquda_aurora.qTMD.1050.CG.D.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	2.1345809936523438e+01	5.3346431111211787e-10	4.0013566965751907e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-10	8.8215160369873047e+00	6.0552579706547057e-10	1.4568357086912857e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-11	7.5147552490234375e+00	3.3622520497579300e-10	1.5330745289205887e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-12	6.3199424743652344e+00	2.7528368806040271e-10	1.9291608478632301e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-13	5.0957031250000000e+00	3.6325132328315760e-10	5.8627850322280884e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-14	4.1538963317871094e+00	4.9377671836012642e-10	6.3694117159084587e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-15	4.4993944168090820e+00	7.2980486728939974e-10	6.1652019854574003e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-16	5.9802856445312500e+00	1.0231549570343262e-09	5.8449461671626492e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-17	7.0278091430664062e+00	1.1006282906051916e-09	6.3852703070189972e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-18	7.7259979248046875e+00	1.3444107103883722e-09	2.0157681598232193e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-19	8.4021911621093750e+00	8.6081341709086233e-10	5.1527689231386023e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	1.8022293090820312e+01	5.2606937627580391e-10	3.4258396142359203e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-20	9.1103343963623047e+00	6.4913749920160592e-10	1.4034521819441002e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	1.5040836334228516e+01	4.8515991098829319e-10	3.1001811966676384e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	1.2439826965332031e+01	4.1032404411781933e-10	3.0317080228815674e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	1.0163593292236328e+01	5.3408432874695820e-10	1.6550057942445114e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-6	8.0972290039062500e+00	4.7529611560777619e-10	1.1391751870083609e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-7	6.0920333862304688e+00	3.3293130461408124e-10	8.7225753837291298e+09
