# file_a: LQ2/data/qTMD/S64T64_gpt_lq2_1e-12.qTMD.1050.CG.D.ex.x33y37z39t49.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: Aurora/data/qTMD/S64T64_pyquda_aurora_1e-12.qTMD.1050.CG.D.ex.x33y37z39t49.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	3.7528991699218750e-01	4.4716224529793556e-12	8.3927013279517609e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-10	4.0553855895996094e-01	4.3879092784449968e-11	6.0599561972542868e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-11	3.6767196655273438e-01	4.3028816169266441e-11	3.5391200342619319e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-12	3.7235260009765625e-01	5.8546616044329907e-11	3.5635681011019402e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-13	3.9662933349609375e-01	8.1072107320403298e-11	3.2296922818935337e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-14	4.1648101806640625e-01	5.5800054266673368e-10	5.3505723713601035e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-15	4.1814804077148438e-01	1.2853925443313552e-10	2.5403763805659924e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-16	3.7360191345214844e-01	6.2275446148932317e-11	5.3270770728164768e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-17	3.0687522888183594e-01	4.4024558353322452e-11	6.9705464486204586e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-18	2.8206825256347656e-01	3.6575567178943101e-11	7.7119310599745378e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-19	2.6848602294921875e-01	3.2867856614825496e-11	8.1686501829302273e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	3.2414245605468750e-01	4.4199306229294293e-12	7.3336548400357758e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-20	2.4652099609375000e-01	2.9966425660636842e-11	8.2220859706596241e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	3.0474090576171875e-01	5.6916911548187082e-12	5.3541363625065735e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	3.4717559814453125e-01	7.9553993946886905e-12	4.3481049975100563e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	3.8935852050781250e-01	1.0001868535930474e-11	3.2488283695506424e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-6	3.9134979248046875e-01	1.1881785795930164e-11	2.4082275746171268e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-7	3.7147521972656250e-01	1.6411781057515860e-11	1.6412458850775391e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-8	3.4042739868164062e-01	2.3240758033298298e-11	1.3475750018957771e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-9	4.3930244445800781e-01	3.4199570174387108e-11	1.2845262154406025e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz0	3.7625122070312500e-01	5.2159350734937365e-12	5.2616563705478912e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz1	3.7336730957031250e-01	9.0640203137814346e-12	4.1192241041497261e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz10	3.0902481079101562e-01	2.1223999424040557e-11	3.6650903807055130e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz11	2.5424575805664062e-01	1.2463117858696205e-11	4.8887685322148485e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz12	2.4608612060546875e-01	5.1139364728398101e-11	3.8502234941077857e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz13	3.1995773315429688e-01	6.5903393214524459e-11	4.8549508234392605e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz14	3.8183593750000000e-01	4.8730809094046168e-11	7.8356166170582199e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz15	4.3083190917968750e-01	3.6764785432869612e-11	1.1718602573279308e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz16	4.6116638183593750e-01	2.9910268343791736e-11	1.5418329803505709e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz17	4.6405410766601562e-01	2.6303900902145696e-11	1.7642026153929176e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz18	4.4130706787109375e-01	4.0787862222679892e-11	5.5595416277060757e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz19	3.9979934692382812e-01	5.4209773188999181e-11	2.7938059646362090e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz2	4.4573593139648438e-01	1.8177430771850726e-11	2.4521393424132511e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz20	3.4668922424316406e-01	5.4228645337921720e-11	4.8679053323059845e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz3	3.0434799194335938e-01	2.7188469007580345e-11	1.1194009925991232e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz4	3.2336044311523438e-01	2.2397674170004137e-11	1.4437233110047277e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz5	4.7700119018554688e-01	4.6221602906548654e-11	5.2620487821768866e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz6	5.0659942626953125e-01	1.0077423453448113e-10	3.7285897040166917e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz7	4.9140930175781250e-01	3.0441888682370605e-11	7.7119395882188940e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz8	4.4531250000000000e-01	6.2749244558438969e-11	2.8294831741885033e+09
