# file_a: LQ2/data/qTMD/S64T64_gpt_lq2.qTMD.1050.GI_PDF.D.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: Aurora/data/qTMD/S64T64_pyquda_aurora.qTMD.1050.GI_PDF.D.ex.x33y37z39t1.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	2.1692146301269531e+01	5.2654257549707911e-10	4.1197326314574280e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-10	3.5967216491699219e+00	5.3181460546693165e-10	5.4601609378731060e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-11	3.2461996078491211e+00	8.4856725463703394e-10	3.5242199449609795e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-12	3.7850196361541748e+00	2.6986687227053991e-09	1.4025506740818915e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-13	2.4655113220214844e+00	6.1359172837810220e-10	2.1901466328454509e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-14	2.8225088119506836e+00	9.7902563323866548e-10	2.8829774381020894e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-15	3.2372655868530273e+00	6.9955353558878939e-10	4.6276166471352844e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-16	3.1919698715209961e+00	5.6305873004425555e-10	1.7856023449716020e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-17	2.9766349792480469e+00	5.0637972126962273e-10	2.7781029504578876e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-18	2.6486225128173828e+00	9.1586303750766591e-10	2.0695310148109074e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-19	2.2039241790771484e+00	1.1609414527483582e-09	1.6654702081328340e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	1.8539211273193359e+01	5.4140266772426537e-10	3.4242925604931301e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-20	2.1872587203979492e+00	1.2661862150161502e-09	1.2825196948955405e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-3	1.5507438659667969e+01	5.7930781042875729e-10	2.6768910034530006e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-4	1.3154930114746094e+01	6.5464658329586876e-10	2.0094705220206882e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-5	1.1074131011962891e+01	7.4290969262582451e-10	1.4906429572645933e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-6	8.5084743499755859e+00	7.1335757876442675e-10	1.1927362382148817e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-7	5.5942535400390625e+00	5.0712331796209229e-10	1.1031347488654102e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-8	4.2362403869628906e+00	3.5738675103768716e-10	1.1853378376962191e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-9	3.6410961151123047e+00	4.5501439361172261e-10	7.8430167962147522e+09
