# file_a: LQ2/data/qTMD/S64T64_gpt_lq2_1e-12.qTMD.1050.GI_PDF.D.ex.x33y37z39t49.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# file_b: Aurora/data/qTMD/S64T64_pyquda_aurora_1e-12.qTMD.1050.GI_PDF.D.ex.x33y37z39t49.1HYP_GSRC_W90_k3_T5.PX0PY0PZ9dt10.PpUnpol.5.h5
# dataset_path	abs_diff=max(abs(abs(a)-abs(b)))	rel_diff=max(abs(abs(a)-abs(b))/abs(a))	abs(a)_at_max_rel
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-1	3.9114379882812500e-01	4.5070178182277801e-12	8.6785500879587830e+10
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-10	1.4820671081542969e-01	1.8972638401384317e-11	3.7675704098372602e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-11	9.8676681518554688e-02	2.0602272848935535e-11	3.5145270702366910e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-12	8.1462860107421875e-02	2.3575020017983939e-11	1.8723048213022239e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-13	1.0717225074768066e-01	7.3203991088878657e-11	1.4640219631954269e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-14	1.0851931571960449e-01	8.5135217411715076e-11	1.2154737714960754e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-15	1.1807322502136230e-01	1.3286339788742527e-10	6.0736952481835270e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-16	1.0386371612548828e-01	2.1368433183986815e-10	3.1147286450194269e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-17	8.5481166839599609e-02	6.4690234168838334e-11	9.2438738978741097e+08
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-18	8.2323074340820312e-02	4.4698033415594642e-11	1.1575064543770907e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-19	7.8512191772460938e-02	4.1961481479178858e-11	1.0982662957628076e+09
/SS/5/PX-1PY-1PZ-1/b_X/eta0/bT0/bz-2	3.6976623535156250e-01	4.7801528285961883e-12	7.7354479785566528e+10
